,routeid,routestring,weight_of_route,route_flow,order
9,7183026,AZE,7.5,BLRGRC,3
9,7183026,TUR,7.5,BLRGRC,4
9,7183026,BGR,7.5,BLRGRC,5
9,7183026,GRC,7.5,BLRGRC,6
0,7196405,BLR,2.0,BLRLTU,1
0,7196405,LTU,2.0,BLRLTU,2
1,7196404,BLR,2.25,BLRLTU,1
1,7196404,LVA,2.25,BLRLTU,2
1,7196404,LTU,2.25,BLRLTU,3
2,7196403,BLR,4.25,BLRLTU,1
2,7196403,LVA,4.25,BLRLTU,2
2,7196403,EST,4.25,BLRLTU,3
2,7196403,RUS,4.25,BLRLTU,4
2,7196403,LTU,4.25,BLRLTU,5
0,7222842,BLR,5.75,BLRMKD,1
0,7222842,UKR,5.75,BLRMKD,2
0,7222842,ROU,5.75,BLRMKD,3
0,7222842,BGR,5.75,BLRMKD,4
0,7222842,MKD,5.75,BLRMKD,5
1,7219991,BLR,6.5,BLRMKD,1
1,7219991,UKR,6.5,BLRMKD,2
1,7219991,HUN,6.5,BLRMKD,3
1,7219991,SRB,6.5,BLRMKD,4
1,7219991,MKD,6.5,BLRMKD,5
2,7223903,BLR,6.75,BLRMKD,1
2,7223903,UKR,6.75,BLRMKD,2
2,7223903,ROU,6.75,BLRMKD,3
2,7223903,SRB,6.75,BLRMKD,4
2,7223903,MKD,6.75,BLRMKD,5
3,7217105,BLR,8.25,BLRMKD,1
3,7217105,RUS,8.25,BLRMKD,2
3,7217105,UKR,8.25,BLRMKD,3
3,7217105,HUN,8.25,BLRMKD,4
3,7217105,SRB,8.25,BLRMKD,5
3,7217105,MKD,8.25,BLRMKD,6
4,7212536,BLR,7.0,BLRMKD,1
4,7212536,POL,7.0,BLRMKD,2
4,7212536,UKR,7.0,BLRMKD,3
4,7212536,ROU,7.0,BLRMKD,4
4,7212536,SRB,7.0,BLRMKD,5
4,7212536,MKD,7.0,BLRMKD,6
5,7213122,BLR,8.5,BLRMKD,1
5,7213122,RUS,8.5,BLRMKD,2
5,7213122,AZE,8.5,BLRMKD,3
5,7213122,TUR,8.5,BLRMKD,4
5,7213122,GRC,8.5,BLRMKD,5
5,7213122,MKD,8.5,BLRMKD,6
6,7211882,BLR,6.75,BLRMKD,1
6,7211882,POL,6.75,BLRMKD,2
6,7211882,UKR,6.75,BLRMKD,3
6,7211882,HUN,6.75,BLRMKD,4
6,7211882,SRB,6.75,BLRMKD,5
6,7211882,MKD,6.75,BLRMKD,6
7,7213108,BLR,8.5,BLRMKD,1
7,7213108,RUS,8.5,BLRMKD,2
7,7213108,AZE,8.5,BLRMKD,3
7,7213108,TUR,8.5,BLRMKD,4
7,7213108,BGR,8.5,BLRMKD,5
7,7213108,MKD,8.5,BLRMKD,6
8,7213227,BLR,8.5,BLRMKD,1
8,7213227,RUS,8.5,BLRMKD,2
8,7213227,GEO,8.5,BLRMKD,3
8,7213227,TUR,8.5,BLRMKD,4
8,7213227,GRC,8.5,BLRMKD,5
8,7213227,MKD,8.5,BLRMKD,6
9,7218109,BLR,7.5,BLRMKD,1
9,7218109,RUS,7.5,BLRMKD,2
9,7218109,UKR,7.5,BLRMKD,3
9,7218109,ROU,7.5,BLRMKD,4
9,7218109,BGR,7.5,BLRMKD,5
9,7218109,MKD,7.5,BLRMKD,6
0,7227028,BLR,2.0,BLRPOL,1
0,7227028,POL,2.0,BLRPOL,2
1,7227027,BLR,2.25,BLRPOL,1
1,7227027,LTU,2.25,BLRPOL,2
1,7227027,POL,2.25,BLRPOL,3
2,7226710,BLR,2.5,BLRPOL,1
2,7226710,LVA,2.5,BLRPOL,2
2,7226710,LTU,2.5,BLRPOL,3
2,7226710,POL,2.5,BLRPOL,4
3,7226942,BLR,4.0,BLRPOL,1
3,7226942,LVA,4.0,BLRPOL,2
3,7226942,RUS,4.0,BLRPOL,3
3,7226942,POL,4.0,BLRPOL,4
4,7226709,BLR,4.25,BLRPOL,1
4,7226709,LVA,4.25,BLRPOL,2
4,7226709,EST,4.25,BLRPOL,3
4,7226709,RUS,4.25,BLRPOL,4
4,7226709,POL,4.25,BLRPOL,5
5,7226941,BLR,4.25,BLRPOL,1
5,7226941,LVA,4.25,BLRPOL,2
5,7226941,RUS,4.25,BLRPOL,3
5,7226941,LTU,4.25,BLRPOL,4
5,7226941,POL,4.25,BLRPOL,5
6,7227026,BLR,4.25,BLRPOL,1
6,7227026,LTU,4.25,BLRPOL,2
6,7227026,LVA,4.25,BLRPOL,3
6,7227026,RUS,4.25,BLRPOL,4
6,7227026,POL,4.25,BLRPOL,5
7,7226708,BLR,4.5,BLRPOL,1
7,7226708,LVA,4.5,BLRPOL,2
7,7226708,EST,4.5,BLRPOL,3
7,7226708,RUS,4.5,BLRPOL,4
7,7226708,LTU,4.5,BLRPOL,5
7,7226708,POL,4.5,BLRPOL,6
8,7226961,BLR,4.5,BLRPOL,1
8,7226961,LTU,4.5,BLRPOL,2
8,7226961,LVA,4.5,BLRPOL,3
8,7226961,EST,4.5,BLRPOL,4
8,7226961,RUS,4.5,BLRPOL,5
8,7226961,POL,4.5,BLRPOL,6
9,7226766,BLR,9.5,BLRPOL,1
9,7226766,LVA,9.5,BLRPOL,2
9,7226766,RUS,9.5,BLRPOL,3
9,7226766,AZE,9.5,BLRPOL,4
9,7226766,TUR,9.5,BLRPOL,5
9,7226766,BGR,9.5,BLRPOL,6
9,7226766,ROU,9.5,BLRPOL,7
9,7226766,UKR,9.5,BLRPOL,8
9,7226766,POL,9.5,BLRPOL,9
0,7231891,BLR,3.5,BLRRUS,1
0,7231891,RUS,3.5,BLRRUS,2
1,7228685,BLR,3.75,BLRRUS,1
1,7228685,LTU,3.75,BLRRUS,2
1,7228685,RUS,3.75,BLRRUS,3
2,7231890,BLR,3.75,BLRRUS,1
2,7231890,POL,3.75,BLRRUS,2
2,7231890,RUS,3.75,BLRRUS,3
3,7227468,BLR,3.75,BLRRUS,1
3,7227468,LVA,3.75,BLRRUS,2
3,7227468,RUS,3.75,BLRRUS,3
4,7227029,BLR,4.0,BLRRUS,1
4,7227029,LVA,4.0,BLRRUS,2
4,7227029,EST,4.0,BLRRUS,3
4,7227029,RUS,4.0,BLRRUS,4
5,7228684,BLR,4.0,BLRRUS,1
5,7228684,LTU,4.0,BLRRUS,2
5,7228684,POL,4.0,BLRRUS,3
5,7228684,RUS,4.0,BLRRUS,4
6,7231889,BLR,4.0,BLRRUS,1
6,7231889,POL,4.0,BLRRUS,2
6,7231889,LTU,4.0,BLRRUS,3
6,7231889,RUS,4.0,BLRRUS,4
7,7227470,BLR,4.0,BLRRUS,1
7,7227470,LTU,4.0,BLRRUS,2
7,7227470,LVA,4.0,BLRRUS,3
7,7227470,RUS,4.0,BLRRUS,4
8,7227467,BLR,4.0,BLRRUS,1
8,7227467,LVA,4.0,BLRRUS,2
8,7227467,LTU,4.0,BLRRUS,3
8,7227467,RUS,4.0,BLRRUS,4
9,7227469,BLR,4.25,BLRRUS,1
9,7227469,LTU,4.25,BLRRUS,2
9,7227469,LVA,4.25,BLRRUS,3
9,7227469,EST,4.25,BLRRUS,4
9,7227469,RUS,4.25,BLRRUS,5
0,7250092,BLR,6.5,BLRTUR,1
0,7250092,RUS,6.5,BLRTUR,2
0,7250092,AZE,6.5,BLRTUR,3
0,7250092,TUR,6.5,BLRTUR,4
1,7250169,BLR,6.5,BLRTUR,1
1,7250169,RUS,6.5,BLRTUR,2
1,7250169,GEO,6.5,BLRTUR,3
1,7250169,TUR,6.5,BLRTUR,4
2,7250168,BLR,8.0,BLRTUR,1
2,7250168,RUS,8.0,BLRTUR,2
2,7250168,GEO,8.0,BLRTUR,3
2,7250168,AZE,8.0,BLRTUR,4
2,7250168,TUR,8.0,BLRTUR,5
3,7240000,BLR,6.75,BLRTUR,1
3,7240000,LTU,6.75,BLRTUR,2
3,7240000,RUS,6.75,BLRTUR,3
3,7240000,GEO,6.75,BLRTUR,4
3,7240000,TUR,6.75,BLRTUR,5
4,7234142,BLR,6.75,BLRTUR,1
4,7234142,LVA,6.75,BLRTUR,2
4,7234142,RUS,6.75,BLRTUR,3
4,7234142,GEO,6.75,BLRTUR,4
4,7234142,TUR,6.75,BLRTUR,5
5,7250091,BLR,8.0,BLRTUR,1
5,7250091,RUS,8.0,BLRTUR,2
5,7250091,AZE,8.0,BLRTUR,3
5,7250091,GEO,8.0,BLRTUR,4
5,7250091,TUR,8.0,BLRTUR,5
6,7245593,BLR,6.75,BLRTUR,1
6,7245593,POL,6.75,BLRTUR,2
6,7245593,RUS,6.75,BLRTUR,3
6,7245593,GEO,6.75,BLRTUR,4
6,7245593,TUR,6.75,BLRTUR,5
7,7245591,BLR,6.75,BLRTUR,1
7,7245591,POL,6.75,BLRTUR,2
7,7245591,RUS,6.75,BLRTUR,3
7,7245591,AZE,6.75,BLRTUR,4
7,7245591,TUR,6.75,BLRTUR,5
8,7239998,BLR,6.75,BLRTUR,1
8,7239998,LTU,6.75,BLRTUR,2
8,7239998,RUS,6.75,BLRTUR,3
8,7239998,AZE,6.75,BLRTUR,4
8,7239998,TUR,6.75,BLRTUR,5
9,7234140,BLR,6.75,BLRTUR,1
9,7234140,LVA,6.75,BLRTUR,2
9,7234140,RUS,6.75,BLRTUR,3
9,7234140,AZE,6.75,BLRTUR,4
9,7234140,TUR,6.75,BLRTUR,5
5,7270524,GEO,9.0,GEOTUR,1
5,7270524,RUS,9.0,GEOTUR,2
5,7270524,BLR,9.0,GEOTUR,3
5,7270524,UKR,9.0,GEOTUR,4
5,7270524,ROU,9.0,GEOTUR,5
5,7270524,BGR,9.0,GEOTUR,6
5,7270524,TUR,9.0,GEOTUR,7
1,7361710,KAZ,8.25,KAZMDA,1
1,7361710,RUS,8.25,KAZMDA,2
1,7361710,BLR,8.25,KAZMDA,3
1,7361710,UKR,8.25,KAZMDA,4
1,7361710,MDA,8.25,KAZMDA,5
4,7363299,KAZ,8.5,KAZMDA,1
4,7363299,RUS,8.5,KAZMDA,2
4,7363299,LTU,8.5,KAZMDA,3
4,7363299,BLR,8.5,KAZMDA,4
4,7363299,UKR,8.5,KAZMDA,5
4,7363299,MDA,8.5,KAZMDA,6
6,7362629,KAZ,8.5,KAZMDA,1
6,7362629,RUS,8.5,KAZMDA,2
6,7362629,LVA,8.5,KAZMDA,3
6,7362629,BLR,8.5,KAZMDA,4
6,7362629,UKR,8.5,KAZMDA,5
6,7362629,MDA,8.5,KAZMDA,6
7,7361437,KAZ,8.5,KAZMDA,1
7,7361437,RUS,8.5,KAZMDA,2
7,7361437,BLR,8.5,KAZMDA,3
7,7361437,POL,8.5,KAZMDA,4
7,7361437,UKR,8.5,KAZMDA,5
7,7361437,MDA,8.5,KAZMDA,6
9,7364231,KAZ,8.5,KAZMDA,1
9,7364231,RUS,8.5,KAZMDA,2
9,7364231,POL,8.5,KAZMDA,3
9,7364231,BLR,8.5,KAZMDA,4
9,7364231,UKR,8.5,KAZMDA,5
9,7364231,MDA,8.5,KAZMDA,6
6,7369154,KAZ,9.25,KAZTUR,1
6,7369154,RUS,9.25,KAZTUR,2
6,7369154,BLR,9.25,KAZTUR,3
6,7369154,UKR,9.25,KAZTUR,4
6,7369154,ROU,9.25,KAZTUR,5
6,7369154,BGR,9.25,KAZTUR,6
6,7369154,TUR,9.25,KAZTUR,7
9,7410314,MDA,5.0,MDADEU,1
9,7410314,UKR,5.0,MDADEU,2
9,7410314,BLR,5.0,MDADEU,3
9,7410314,POL,5.0,MDADEU,4
9,7410314,DEU,5.0,MDADEU,5
7,7422918,MDA,5.25,MDAESP,1
7,7422918,UKR,5.25,MDAESP,2
7,7422918,BLR,5.25,MDAESP,3
7,7422918,POL,5.25,MDAESP,4
7,7422918,DEU,5.25,MDAESP,5
7,7422918,FRA,5.25,MDAESP,6
7,7422918,ESP,5.25,MDAESP,7
2,7451176,MDA,6.5,MDARUS,1
2,7451176,UKR,6.5,MDARUS,2
2,7451176,BLR,6.5,MDARUS,3
2,7451176,RUS,6.5,MDARUS,4
6,7450788,MDA,6.75,MDARUS,1
6,7450788,UKR,6.75,MDARUS,2
6,7450788,BLR,6.75,MDARUS,3
6,7450788,LTU,6.75,MDARUS,4
6,7450788,RUS,6.75,MDARUS,5
7,7450647,MDA,6.75,MDARUS,1
7,7450647,UKR,6.75,MDARUS,2
7,7450647,BLR,6.75,MDARUS,3
7,7450647,LVA,6.75,MDARUS,4
7,7450647,RUS,6.75,MDARUS,5
8,7453184,MDA,6.75,MDARUS,1
8,7453184,UKR,6.75,MDARUS,2
8,7453184,POL,6.75,MDARUS,3
8,7453184,BLR,6.75,MDARUS,4
8,7453184,RUS,6.75,MDARUS,5
3,7489739,POL,4.0,POLDEU,1
3,7489739,BLR,4.0,POLDEU,2
3,7489739,UKR,4.0,POLDEU,3
3,7489739,SVK,4.0,POLDEU,4
3,7489739,CZE,4.0,POLDEU,5
3,7489739,DEU,4.0,POLDEU,6
4,7489737,POL,3.75,POLDEU,1
4,7489737,BLR,3.75,POLDEU,2
4,7489737,UKR,3.75,POLDEU,3
4,7489737,SVK,3.75,POLDEU,4
4,7489737,AUT,3.75,POLDEU,5
4,7489737,DEU,3.75,POLDEU,6
5,7488947,POL,3.75,POLDEU,1
5,7488947,BLR,3.75,POLDEU,2
5,7488947,UKR,3.75,POLDEU,3
5,7488947,HUN,3.75,POLDEU,4
5,7488947,AUT,3.75,POLDEU,5
5,7488947,DEU,3.75,POLDEU,6
6,7489475,POL,4.25,POLDEU,1
6,7489475,BLR,4.25,POLDEU,2
6,7489475,UKR,4.25,POLDEU,3
6,7489475,ROU,4.25,POLDEU,4
6,7489475,HUN,4.25,POLDEU,5
6,7489475,AUT,4.25,POLDEU,6
6,7489475,DEU,4.25,POLDEU,7
7,7489736,POL,4.0,POLDEU,1
7,7489736,BLR,4.0,POLDEU,2
7,7489736,UKR,4.0,POLDEU,3
7,7489736,SVK,4.0,POLDEU,4
7,7489736,AUT,4.0,POLDEU,5
7,7489736,CZE,4.0,POLDEU,6
7,7489736,DEU,4.0,POLDEU,7
8,7488561,POL,5.5,POLDEU,1
8,7488561,BLR,5.5,POLDEU,2
8,7488561,RUS,5.5,POLDEU,3
8,7488561,UKR,5.5,POLDEU,4
8,7488561,HUN,5.5,POLDEU,5
8,7488561,AUT,5.5,POLDEU,6
8,7488561,DEU,5.5,POLDEU,7
9,7489184,POL,4.25,POLDEU,1
9,7489184,BLR,4.25,POLDEU,2
9,7489184,UKR,4.25,POLDEU,3
9,7489184,HUN,4.25,POLDEU,4
9,7489184,SVK,4.25,POLDEU,5
9,7489184,CZE,4.25,POLDEU,6
9,7489184,DEU,4.25,POLDEU,7
4,7580555,ROU,4.0,ROUDEU,1
4,7580555,UKR,4.0,ROUDEU,2
4,7580555,BLR,4.0,ROUDEU,3
4,7580555,POL,4.0,ROUDEU,4
4,7580555,DEU,4.0,ROUDEU,5
4,7653586,ROU,5.5,ROUFIN,1
4,7653586,UKR,5.5,ROUFIN,2
4,7653586,BLR,5.5,ROUFIN,3
4,7653586,RUS,5.5,ROUFIN,4
4,7653586,FIN,5.5,ROUFIN,5
4,7840027,ROU,6.5,ROUNOR,1
4,7840027,UKR,6.5,ROUNOR,2
4,7840027,BLR,6.5,ROUNOR,3
4,7840027,RUS,6.5,ROUNOR,4
4,7840027,NOR,6.5,ROUNOR,5
1,7855618,ROU,4.0,ROUPOL,1
1,7855618,UKR,4.0,ROUPOL,2
1,7855618,BLR,4.0,ROUPOL,3
1,7855618,POL,4.0,ROUPOL,4
5,7851790,ROU,5.5,ROUPOL,1
5,7851790,MDA,5.5,ROUPOL,2
5,7851790,UKR,5.5,ROUPOL,3
5,7851790,BLR,5.5,ROUPOL,4
5,7851790,POL,5.5,ROUPOL,5
4,7917789,ROU,6.5,ROUSWE,1
4,7917789,UKR,6.5,ROUSWE,2
4,7917789,BLR,6.5,ROUSWE,3
4,7917789,RUS,6.5,ROUSWE,4
4,7917789,NOR,6.5,ROUSWE,5
4,7917789,SWE,6.5,ROUSWE,6
6,7917693,ROU,5.5,ROUSWE,1
6,7917693,UKR,5.5,ROUSWE,2
6,7917693,BLR,5.5,ROUSWE,3
6,7917693,RUS,5.5,ROUSWE,4
6,7917693,FIN,5.5,ROUSWE,5
6,7917693,SWE,5.5,ROUSWE,6
3,7958631,RUS,8.5,RUSBIH,1
3,7958631,BLR,8.5,RUSBIH,2
3,7958631,UKR,8.5,RUSBIH,3
3,7958631,ROU,8.5,RUSBIH,4
3,7958631,SRB,8.5,RUSBIH,5
3,7958631,BIH,8.5,RUSBIH,6
4,7957508,RUS,7.25,RUSBIH,1
4,7957508,BLR,7.25,RUSBIH,2
4,7957508,UKR,7.25,RUSBIH,3
4,7957508,HUN,7.25,RUSBIH,4
4,7957508,HRV,7.25,RUSBIH,5
4,7957508,BIH,7.25,RUSBIH,6
0,7978959,RUS,3.5,RUSBLR,1
0,7978959,BLR,3.5,RUSBLR,2
1,7978458,RUS,9.0,RUSBLR,1
1,7978458,AZE,9.0,RUSBLR,2
1,7978458,TUR,9.0,RUSBLR,3
1,7978458,BGR,9.0,RUSBLR,4
1,7978458,ROU,9.0,RUSBLR,5
1,7978458,UKR,9.0,RUSBLR,6
1,7978458,BLR,9.0,RUSBLR,7
2,7978603,RUS,10.5,RUSBLR,1
2,7978603,AZE,10.5,RUSBLR,2
2,7978603,TUR,10.5,RUSBLR,3
2,7978603,BGR,10.5,RUSBLR,4
2,7978603,SRB,10.5,RUSBLR,5
2,7978603,ROU,10.5,RUSBLR,6
2,7978603,UKR,10.5,RUSBLR,7
2,7978603,BLR,10.5,RUSBLR,8
3,7978009,RUS,10.5,RUSBLR,1
3,7978009,AZE,10.5,RUSBLR,2
3,7978009,GEO,10.5,RUSBLR,3
3,7978009,TUR,10.5,RUSBLR,4
3,7978009,BGR,10.5,RUSBLR,5
3,7978009,ROU,10.5,RUSBLR,6
3,7978009,UKR,10.5,RUSBLR,7
3,7978009,BLR,10.5,RUSBLR,8
4,7978792,RUS,9.5,RUSBLR,1
4,7978792,AZE,9.5,RUSBLR,2
4,7978792,TUR,9.5,RUSBLR,3
4,7978792,GRC,9.5,RUSBLR,4
